ID,s1_name,patch_id,input,output,type,category,latitude,longitude,country,season,climate_zone
1459,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_32_64,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_32_64,Are there touching boundaries between any instance of complex cultivation patterns and urban fabrics?,yes,binary,adjacency,48.036373931368665,12.840120739738445,Austria,Summer,"Cold, no dry season, warm summer"
1460,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_32_64,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_32_64,Does any instance of complex cultivation patterns abut industrial or commercial units in the scene?,yes,binary,adjacency,48.036373931368665,12.840120739738445,Austria,Summer,"Cold, no dry season, warm summer"
1461,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_32_64,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_32_64,Does any instance of industrial or commercial units meet land principally occupied by agriculture with significant areas of natural vegetation at its edges in the image?,yes,binary,adjacency,48.036373931368665,12.840120739738445,Austria,Summer,"Cold, no dry season, warm summer"
1462,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_32_64,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_32_64,Does any broad-leaved forest make contact with industrial or commercial units in the image?,yes,binary,adjacency,48.036373931368665,12.840120739738445,Austria,Summer,"Cold, no dry season, warm summer"
1463,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_32_64,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_32_64,Is any instance of land principally occupied by agriculture with significant areas of natural vegetation situated directly next to urban fabrics?,yes,binary,adjacency,48.036373931368665,12.840120739738445,Austria,Summer,"Cold, no dry season, warm summer"
1464,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_32_64,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_32_64,Is there evidence that any instance of pastures and urban fabrics are touching in the scene?,no,binary,adjacency,48.036373931368665,12.840120739738445,Austria,Summer,"Cold, no dry season, warm summer"
1465,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_32_64,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_32_64,Does any arable land touch a broad-leaved forest in the image?,no,binary,adjacency,48.036373931368665,12.840120739738445,Austria,Summer,"Cold, no dry season, warm summer"
1466,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_32_64,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_32_64,Would you identify any arable land as lying adjacent to complex cultivation patterns?,no,binary,adjacency,48.036373931368665,12.840120739738445,Austria,Summer,"Cold, no dry season, warm summer"
1467,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_32_64,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_32_64,Does any instance of land principally occupied by agriculture with significant areas of natural vegetation lie right up against pastures?,no,binary,adjacency,48.036373931368665,12.840120739738445,Austria,Summer,"Cold, no dry season, warm summer"
1468,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_32_64,S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_32_64,Do regions of any arable land directly adjoin industrial or commercial units?,no,binary,adjacency,48.036373931368665,12.840120739738445,Austria,Summer,"Cold, no dry season, warm summer"
